"x.box","y.box","width","high","onpix","x.bar","y.bar","x2bar","y2bar","xybar","x2ybr","xy2br","x.ege","xegvy","y.ege","yegvx","class"
2,4,4,3,2,7,8.67311266520433,2,9,11,7,7,-1.2011019152038,7.96413019639694,5,6,"Z"
4,7,4.94958492440347,5.46914764658587,5,5,9,6,4.1282050702067,8,7,9,2,9,7,10,"P"
7,11.1917990281361,7.1721785904109,7,4,8,2.65085048413922,5,10,11,2,8,2,2.78842625302477,8.8608829461889,10,"S"
4,6.06101513550817,5,7,4,7,7,13,1,3.58633034398314,6,8.09775574620104,3,8,4.75441818780986,8,"H"
6,7,8,5,5.22305793293859,7,6,3,7,10,4.77800504027738,9,3,8,3,7,"H"
4,7,5,5,1.53115094452648,4,12,2,5,13,7,5,1,10,1,7,"F"
6.95854061047341,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,"N"
1,0,2,0,1,6,10,7,2,7,5,6.85797810373229,2,7,4,9,"R"
5,9,7,6,7,7,7,2,4,9,8,9,7,5.756864615665,2,8,"M"
1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,"D"
2,7,4,5,1,9,8,4,2,5,7.66620228554973,8,1.72849983155818,10,0,8,"V"
3,11,5,8,3,13,4,5,3,12,1.82142475729081,8,2,6,2.3718155968735,7.07380786541869,"A"
3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,"K"
5.03501162695053,8.54267818586153,5,6,2.76194623491147,8,8,4,5,9,5,4,0.702688778644336,8,2.33907844818526,7,"D"
8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,6.57748864313365,"S"
7,11,10,8,9,6.66461636438808,7,3,6,10.1802128472323,4,7,5.34669923127979,6,4,9,"H"
5,5,5,7,3,3,7,6,12,7,6,15,0,8,8.90422005521999,6,"E"
2,4,5,3,2.66206693246233,7,6.95057165746131,2,8.3800904645507,11,4.3981049266101,7,1,8,5,6,"Z"
2.72576101962503,7,6,5,4,8,9,8,4,7.83754957623873,7,7,4.06826510787455,8,3,8,"O"
4,7.81089131343707,5.64272014978174,7,6.4469175720376,8,8,2.02084072995899,2,7,7,11,3,9,5,8,"Q"
5,10,7,9,3,8,5,9,8,6,4,8,1.16768982185311,8,4,8,"Q"
3,7,3,5,1,1,1,5,5,0,1,8.31034576597557,0,8,0,8,"L"
1,1,2,1,0.295747863690049,7,10.5657468146089,4,2,7,13,8,2,10.9722613612189,0,8,"V"
2,1,2.08415552583649,1.42028144616777,1,8,7,3,8,6,6,8,2,8,5.53132624282249,8,"X"
8,9,10,8,12,7,6.1730357253768,5,5,7,6,8,8.53394845537576,10,6,9,"V"
5,10.3051899570963,8,7,11,9,6,2,2,8,4,8,10,7.94060365469598,3,6,"M"
5,6,5,4,3,4,11.291288404499,1,7,10,10,6,1,10,2,4,"Y"
2,3.70901023068419,4,4,3,9,6,4,6,10,4,6,3.21088469588981,8,3,7.61693117623713,"D"
3,8,5,6,5,7,7,4,8,7,6.09738685867592,8,3,8,5,10,"E"
4,7,6,5,5.08321140582725,6.18002856794846,7,2.46698802488025,5,5.52526194282076,1,5.19594464537315,5,9,2.24972269761271,7,"N"
4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,"A"
3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,"D"
4.20950296512838,8,4.69236810892869,6,4,9,9,6,4,7,5,6.19532588724488,3,8,10,7,"Z"
3,5,5,3,2,5,9,3,4,10,8,8,4.44533112387754,8.77474537020038,0,7,"N"
4,11,5,8,4.83066502080053,7,7,4,4,7,6,8,3,8,4,8,"X"
4,9,6,6.92110889415582,7,9.62251635461701,8,1,4,3.96908904189958,8,7,6,11,5.46401859753564,5,"F"
6,7.42574396553745,5,4,2,3.26145628538692,9,4,5,4,8.74767537199386,10,5,10,2,8,"N"
3,4,4,7,4.68521138916431,0,1,6,4.87162969943237,0,0,6,3.76060889206293,8,1.9258667520065,6.2522777509523,"L"
4,5,6,4,3,7.4242505551605,8,2,5,10,6,6,5,6.59335431474609,1,7,"N"
1,3,3,2,1,7,11.8622030296908,2,9,11,7.8591533703136,8,1,8,5,7,"Z"
6,9,6,5.87499358830616,3,7,6,4.11947012349042,4,9,4.29202879752445,5,3,7.83610100297722,4,7.24690297107781,"Y"
0,0,0,1,0,7,7,4,4,7,6,8,0.582607435197003,8,0,8,"I"
