sepal_length;sepal_width;petal_length;petal_width;species
5.1;3.5;1.4;0.2;setosa
4.9;3.0;1.4;0.2;setosa
4.7;3.2;3.134712128976286;0.8471081031955481;setosa
4.6;3.1;2.129867546499878;0.2;setosa
5.0;3.6;1.4;0.2;setosa
4.878891709835887;3.9;1.7;0.4;setosa
4.6;3.4000000000000004;1.4;0.3562237376649976;setosa
5.0;3.4000000000000004;2.122683582200885;0.2;setosa
4.4;2.9;1.4;0.38917579778936506;setosa
4.9;3.1;2.1848534547133447;0.1;setosa
5.4;3.7;1.5;0.2;setosa
4.8;3.4000000000000004;1.6;0.2;setosa
4.8;3.3584119734754565;1.4;0.1;setosa
4.3;3.0;1.1;0.1;setosa
5.8;4.0;1.2;0.2;setosa
5.7;4.4;1.5;0.3420478637240231;setosa
5.4;3.3172801738054756;1.3;0.4;setosa
5.1;3.5;1.4;0.3;setosa
4.851278127447814;3.8;1.7;0.3;setosa
5.1;3.8;1.5;0.3;setosa
5.4;3.4000000000000004;1.7;0.2;setosa
5.1;3.7;1.5;0.4;setosa
4.6;3.6;1.9448370363590124;0.2;setosa
4.965343277640283;3.3;1.7;0.441115545306772;setosa
4.8;3.4000000000000004;1.9;0.3997763929121494;setosa
5.0;3.0;1.6;0.43543562560462956;setosa
4.937277367390901;3.4000000000000004;1.6;0.4;setosa
4.826567590137362;3.5;1.5;0.2;setosa
5.2;3.4000000000000004;1.4;0.2;setosa
4.7;3.2;1.6;0.2;setosa
4.973767782729238;3.318369651798487;1.6;0.2;setosa
5.4;2.9516796262693408;2.982689550275267;0.4;setosa
5.2;4.1;1.5;0.33866634776580334;setosa
5.5;4.2;1.4;0.2;setosa
4.9;3.1;1.5;0.1;setosa
5.0;3.2;1.2;0.2;setosa
4.802770017439455;3.5;1.3;0.2;setosa
4.9;3.1;1.5;0.1;setosa
4.4;3.372643422810376;1.3;0.2;setosa
5.604159816225916;3.4000000000000004;2.7149683458503784;0.2;setosa
5.0;3.185452907497466;1.3;0.5251268727690578;setosa
4.5;2.3;1.3;0.4556130698868335;setosa
4.4;3.2;1.3;0.2;setosa
5.0;3.5;1.6;0.6;setosa
5.1;3.8;1.9;0.3812201479596198;setosa
4.8;3.0;1.4;0.40777424284797903;setosa
5.1;3.8;1.6;0.2;setosa
4.6;3.2;1.4;0.2;setosa
5.3;3.7;1.5;0.2;setosa
5.0;3.3;2.1804659143317044;0.2;setosa
6.237542543456137;3.2;4.7;1.4;versicolor
6.4;3.2;4.5;1.5000000000000002;versicolor
6.9;3.1;4.9;1.5000000000000002;versicolor
5.5;2.3;4.0;1.3;versicolor
6.3824313447298415;2.8;4.6;1.5000000000000002;versicolor
5.7;2.894765273026228;4.5;1.3;versicolor
6.3;3.3;4.377836816403033;1.6;versicolor
5.436451358067363;2.938561973632634;3.3;0.9240021324270964;versicolor
6.6;2.9;4.894664631875397;1.5997890522647502;versicolor
5.2;2.944351255982578;3.9;1.4;versicolor
5.0;2.0;3.9544007096710807;1.0;versicolor
5.9;2.8838277207852006;4.2;1.5000000000000002;versicolor
6.0;2.2;4.0;1.539337757926941;versicolor
6.1;2.9;4.4078244786434775;1.4;versicolor
5.6;2.9444111229127348;3.6;1.3;versicolor
6.7;3.1;4.689192294012308;1.4;versicolor
5.6;3.0;4.5;1.5000000000000002;versicolor
5.8;2.7;4.1;1.0;versicolor
6.2;2.2;5.1957239179244645;1.5000000000000002;versicolor
5.6;2.5;3.9;1.1;versicolor
5.9;3.2;4.8;1.8;versicolor
