"x.box","y.box","width","high","onpix","x.bar","y.bar","x2bar","y2bar","xybar","x2ybr","xy2br","x.ege","xegvy","y.ege","yegvx","class"
2,4,4,3,2,7,8,2,9,11,7,7,1,8,3.76655098343644,6,"Z"
4,7,5,5,5,5,9,6,4,6.91813847709483,7,9,2,9,7,8.87622421940052,"P"
7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,"S"
4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,"H"
6,7,8,5,4.27061693783299,7,8.01220590842621,3,7,10,7,9,3,8,3,7,"H"
4,7,5,4.54789794328785,3,4,12,2,5,13,7,5,1,10,1,7,"F"
6,10,8,8,4,7,8,2,4.29264437326861,10,7,8,5,8,1,8,"N"
1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,"R"
5,9,7,6.5498387876722,7,7,7,2,4,9.09813170447241,8,9,7,6,2,8,"M"
1,0,2,1.7486704645592,1,5,7.29967834486757,8,6,7,6,6,2,8,3,8,"D"
2,7,4,5,1,9,8,7.4480156448769,2,10.4366413707828,13,8,3,10,0,8,"V"
3,9.47623532810758,5,8,3,13,4,5,3,12,1,10.0339976186136,2,6,4,9,"A"
3,5.50416464984694,5,4.07035530797442,5,8,7,4,4,6.46148129527266,6,7,4,6,8,13,"K"
3,8,5,6,4,8.37706480421165,8,4,5,9,5,4,3,8,3,7,"D"
8,11,9,8,5.30639993632041,7,8,3,6,10,5,6.30138877517165,4,6,6,8,"S"
7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,"H"
5,5,5,7,3,3,7,6,6.89501663558323,7,6,15,0,8,7,6,"E"
2.20359288042453,4,5,3,2,7,8,2,9,11,5.62192361234006,7,1,8,5,6,"Z"
4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,"O"
3.38853039389398,6,4,7,5.11433272540848,8,5.5872609006007,6,2,7,3.51887017391125,11,3,9,5,8,"Q"
5,10,7,9,5.97147911175677,8,5,9,8,6,4,8,3,8,4,8,"Q"
3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,"L"
1,1,2,1.83278644991167,0,7,9,4,2,7,13,10.5480488487144,2,10,-0.930945516647248,9.99873159538761,"V"
2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,"X"
8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,"V"
5,10,10.0692976231175,7,11,9,6,2,2,8,4,8,10,5,3,6,"M"
5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,"Y"
2,5,4,4,3,9,6,4,6,10,4,6,2,7.32379568270876,3,8,"D"
4.78884588800007,8,6.67207290483075,6,5,7,6.44514625690166,3.5989442595999,8,7,5.55783341429025,8.3661646843189,3,10.1970153664278,5,10,"E"
4,7,6,5,4,11,7,0.878825789791958,5,10,1,4,5,9,1,7.51756043952049,"N"
4,11.0071891534225,6,7,2,9,4,3,2,8,1,8,3,7,3,8,"A"
4.54065809866791,4,4,3,3,7,7,6,7,7,6,5,2.33970820628554,8,3,7,"D"
4,8,5,6,4,9,9,0.44626936461717,4,7.89223281287361,5,8,1.41419881322017,8,10,7,"Z"
3,5,5,3,2,5,9,3,4,10,8,8,3.34601652800693,8,0,7,"N"
