sepal_length,sepal_width,petal_length,petal_width,class
5.1,3.34870380706691,1.4,0.2,setosa
4.9,3,1.4,0.2,setosa
4.7,3.21566353587896,1.3,0.372827440730858,setosa
4.6,3.1,1.5,0.2,setosa
5.22425554781211,3.6,1.4,-0.13197854501517,setosa
5.4,2.52468754902422,3.88100297154583,1.25080538346887,setosa
4.6,3.4,1.4,0.3,setosa
5,3.4,1.67340884592991,0.461520829787459,setosa
4.4,2.4978381153015,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.4,3.7,1.5,0.2,setosa
4.8,3.4,1.14592908734827,0.2,setosa
5.23511414283845,3.57852115189187,1.4,0.1,setosa
4.3,3,1.1,0.1,setosa
5.8,4,1.2,0.2,setosa
5.36486275240792,4.4,0.984285629543182,0.4,setosa
5.4,3.9,1.3,0.4,setosa
4.68428560135732,3.5,1.4,0.3,setosa
5.35967566553927,3.8,1.7,0.391587419312143,setosa
5.1,3.4806168170429,1.50077997841115,0.3,setosa
5.4,3.4,1.7,0.2,setosa
5.1,3.7,1.5,0.4,setosa
4.75011986675884,3.84616130835445,1,0.2,setosa
4.68264903113608,3.3,1.7,0.5,setosa
4.8,3.4,1.9,0.2,setosa
4.61419410505417,2.96920555235473,1.6,0.2,setosa
5,3.4,1.6,0.491516003920709,setosa
5.2,3.5,1.5,0.2,setosa
5.2,3.01359646373108,1.4,0.2,setosa
4.7,3.2,1.6,0.2,setosa
4.84067867430888,3.1,1.35103186110783,0.2,setosa
5.4,3.82215514805719,1.5,0.4,setosa
5.2,3.78991433953187,1.5,0.519438068682778,setosa
5.5,4.2,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
4.60598763278303,3.2,1.2,0.2,setosa
5.01225890032687,3.5,1.3,0.2,setosa
4.9,3.1,1.5,0.1,setosa
4.45792960596113,3,1.3,0.0847247630286864,setosa
5.1,3.4,1.5,0.2,setosa
5.00379872513351,3.5,1.49919577257541,0.3,setosa
4.5,3.33221856479686,1.3,0.3,setosa
4.99346298569316,3.2,1.85430356925193,0.2,setosa
5,3.5,1.6,0.6,setosa
5.41479583107315,3.8,1.9,0.4,setosa
4.8,3,1.4,0.3,setosa
5.1,3.29863002005072,1.45468741636616,0.2,setosa
4.6,3.2,1.4,0.2,setosa
5.3,3.7,1.5,0.363937106960658,setosa
5,3.32139307512763,1.1183457141122,0.2,setosa
7,3.09145341090465,4.59996199552483,1.4,versicolor
6.22940824070852,3.2,4.5,1.55927264654459,versicolor
6.22498126707075,3.1,4.9,1.5,versicolor
5.5,2.3,3.85240646748888,1.08820467647536,versicolor
6.5,2.99563403264437,4.6,1.5,versicolor
6.62066004170377,2.8,5.88962307441618,2.23065493201221,versicolor
6.69485986021327,3.3,4.7,1.6,versicolor
5.3940830332776,2.4,3.80310425989519,1,versicolor
6.6,3.22967576866907,4.6,1.44351137069702,versicolor
5.2,2.7,3.9,1.20877462306523,versicolor
4.54485655253313,2,3.5,1,versicolor
6.09170698882489,3,4.2,1.5,versicolor
6,2.9753947764664,4,1,versicolor
6.1,2.9,4.7,1.4,versicolor
5.6,2.89631718550405,3.6,1.3,versicolor
6.7,3.1,4.4,1.52857990506019,versicolor
5.6,3,3.98258641660365,1.5,versicolor
6.32716053676315,2.7,4.1,1,versicolor
6.2,2.2,4.5,1.22511279652536,versicolor
5.87091228885665,2.71950918950782,3.9,1.09835518821491,versicolor
6.21329533694164,3.2,4.8,1.8,versicolor
6.1,2.8,4,1.3,versicolor
6.3,2.41089940820074,4.9,1.5,versicolor
6.22698244899295,2.8,4.7,1.2,versicolor
6.4,2.9,4.3,1.3,versicolor
6.6,3,5.71001509588736,2.16079123946832,versicolor
6.6593695866723,2.8,5.41864163607767,1.81010184456899,versicolor
6.86642688607297,3,5.80584716891927,1.86552670050632,versicolor
5.78637364433902,2.9,4.07791494007939,1.5,versicolor
5.7,2.6,3.5,1.05305380572639,versicolor
5.5,2.4,3.8,1.2643401903392,versicolor
5.5,2.54728992250468,3.7,1,versicolor
5.8,2.7,3.9,1.04586220140297,versicolor
6.15148678356757,2.7,5.13944893797087,1.70271836709258,versicolor
5.4,3,4.5,1.5,versicolor
6,3.4,3.54848566994685,1.6,versicolor
6.27392533476884,3.1,4.7,1.5,versicolor
6.12728197902215,2.83738978369358,4.4,1.3,versicolor
5.6,3,4.1,1.3,versicolor
5.5,2.5,4,1.3,versicolor
5.5,2.41239753317443,4.4,1.2,versicolor
6.24853031611733,3,4.6,1.4,versicolor
5.8,2.6,4,1.2,versicolor
5,2.67043257122275,3.3,1,versicolor
5.6,2.7,4.2,1.3,versicolor
5.82477553106593,3,4.2,1.48397143704903,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3,0.661133792753862,versicolor
5.7,2.8,4.1,1.35878299439453,versicolor
6.3,3.3,6,2.5,virginica
5.8,2.61453939291211,5.19362960363225,1.9,virginica
7.1,3,5.9,2.14945356510432,virginica
6.21030512725359,2.55795004766958,5.74160113800861,1.8,virginica
6.5,3,5.8,2.10762856428996,virginica
7.6,3,6.6,2.31757251575991,virginica
4.9,2.5,4.14169433214969,1.7,virginica
7.3,2.9,5.76266366559593,1.8,virginica
6.77974710625012,3.27221210118771,5.36445898053861,1.8,virginica
7.39079309512535,3.6,6.1,2.5,virginica
6.5,3.2,5.15119507493505,2,virginica
6.4,2.7,5.3,1.9,virginica
6.30313550111399,2.81182910542977,5.5,2.1,virginica
5.7,2.5,5,1.44266201079674,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3,5.5,1.8,virginica
7.7,3.8,6.7,2.820047323735,virginica
7.7,2.72544953143447,6.9,2.3,virginica
6,2.2,5.20336431691639,1.5,virginica
6.9,3.69629218024174,5.7,2.3,virginica
5.6,2.8,4.9,2,virginica
7.7,3.33665154600126,5.57939626454206,2,virginica
