sepal_length,sepal_width,petal_length,petal_width,class
5.1,3.5,1.4,0.2,setosa
4.9,2.83434122319379,1.4,0.2,setosa
4.7,3.2,0.944359103447637,0.2,setosa
4.6,3.1,1.5,0.201420493242713,setosa
5,3.6,1.4,0.2,setosa
5.354644478914,3.9,1.7,0.212601682413646,setosa
4.6,3.4,1.4,0.3,setosa
5,3.07704772668272,1.5,0.2,setosa
4.4,2.9,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.4,3.7,1.5,0.326208271082168,setosa
4.8,3.4,1.6,0.2,setosa
4.8,3,1.4,0.1,setosa
4.3,3,1.1,0.1,setosa
5.8,4,1.2,0.2,setosa
5.7,4.4,1.5,0.4,setosa
5.4,3.9,1.3,0.4,setosa
5.1,3.5,1.4,0.3,setosa
5.7,3.8,1.7,0.3,setosa
5.1,3.8,1.5,0.3,setosa
5.4,3.4,1.7,0.2,setosa
5.1,3.11170644380092,1.5,0.4,setosa
4.6,3.6,0.920150907919105,0.2,setosa
5.1,2.98935138589928,1.7,0.5,setosa
5.24597565139941,3.4,1.9,0.2,setosa
5,3,1.6,0.2,setosa
5,3.4,1.6,0.4,setosa
5.2,3.5,1.5,0.2,setosa
5.2,3.4,1.4,0.2,setosa
4.7,3.2,1.6,0.2,setosa
4.8,3.1,1.6,0.2,setosa
5.4,3.4,1.5,0.4,setosa
5.2,4.1,1.5,0.1,setosa
5.5,3.83669613014714,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
4.61714612354199,3.2,1.02484526414883,0.2,setosa
5.5,3.5,1.3,0.2,setosa
4.9,3.1,1.5,0.1,setosa
4.4,3.11043025104841,1.3,0.2,setosa
5.1,3.4,1.5,0.2,setosa
5,3.5,1.3,0.3,setosa
4.5,2.3,1.3,0.3,setosa
4.4,3.2,1.3,0.2,setosa
5,3.5,1.6,0.6,setosa
5.1,3.8,1.9,0.4,setosa
4.8,3,1.4,0.3,setosa
5.1,3.8,1.6,0.2,setosa
4.6395830821158,3.2,1.4,0.393977444689955,setosa
5.3,2.99605709354597,1.5,0.2,setosa
5,3.3,1.4,0.2,setosa
7,3.2,4.7,1.86777287275472,versicolor
6.4,3.2,4.5,1.5,versicolor
6.9,3.1,4.9,1.5,versicolor
5.5,2.3,4,1.69598879558279,versicolor
6.5,2.8,4.6,1.5,versicolor
5.7,2.8,4.5,1.3,versicolor
6.3,3.3,4.7,1.6,versicolor
4.9,2.4,3.3,1,versicolor
6.6,2.9,4.22404899429832,1.3,versicolor
5.2,2.7,3.9,1.4,versicolor
5,2,3.5,1,versicolor
6.16989555025337,3,4.2,1.5,versicolor
6,2.2,4,1.20177669072832,versicolor
6.1,2.9,4.7,1.4,versicolor
5.6,2.9,3.6,1.3,versicolor
6.7,3.1,4.4,1.4,versicolor
5.6,2.1616371656663,4.5,1.5,versicolor
5.8,2.49777409069376,4.1,1,versicolor
6.2,2.2,4.5,1.5,versicolor
5.6,2.5,3.9,1.1,versicolor
5.9,3.2,4.8,1.8,versicolor
6.1,2.8,4,1.3,versicolor
6.3,2.5,4.9,1.5,versicolor
6.1,2.8,4.7,1.2,versicolor
6.4,2.9,4.89932574877888,1.89289608246636,versicolor
6.6,3,5.06371849602853,1.4,versicolor
6.8,2.8,4.8,1.29881936330872,versicolor
6.14174568840933,3,5,1.60917139292501,versicolor
6,2.9,4.5,1.28394621693013,versicolor
5.7,2.6,3.5,1,versicolor
5.5,2.4,3.62292114943679,1.1,versicolor
5.5,2.4,3.30509824721167,1,versicolor
5.8,2.7,3.9,1.2,versicolor
6,2.7,5.1,1.6,versicolor
5.4,2.06904875683385,4.5,1.00567348119529,versicolor
6.4454223859688,3.4,4.5,1.6,versicolor
6.7,3.1,4.89452444383068,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3,3.37705409011744,1.3,versicolor
5.5,2.5,4,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3,4.6,1.6878594302453,versicolor
5.8,2.6,4,1.36893932267668,versicolor
5,2.3,3.3,1,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3,1.1,versicolor
5.7,2.28702090612583,4.1,1.3,versicolor
6.3,3.3,6,2.25318939048929,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3,5.8,2.2,virginica
7.6,3,6.6,2.1,virginica
6.25734633140621,2.5,5.13692977547881,1.7,virginica
7.12701789374678,2.9,6.3,1.8,virginica
6.7,2.5,5.31832180133832,1.37767682130701,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3,5.5,2.1,virginica
5.7,2.5,5,2,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3,5.11181237211516,1.8,virginica
7.7,3.8,6.7,2.2,virginica
6.94123600082286,2.6,6.9,2.3,virginica
6,2.2,4.94635227886355,1.5,virginica
6.64769624427181,3.2,5.96047404833742,2.3,virginica
5.6,2.07519935473615,4.9,1.72138235588535,virginica
7.7,2.8,6.7,2,virginica
6.3,2.7,4.9,1.45321676428532,virginica
6.66628267384397,3.3,5.7,2.1,virginica
7.2,2.91385182802862,6.68267239389702,2.51283073600459,virginica
6.2,2.8,5.10175278567926,1.8,virginica
6.1,3,4.83924117719679,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.85069687964847,3.8,6.4,2,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,4.95870340491478,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3,6.60910760253538,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.76550407777181,virginica
6,3,4.8,1.8,virginica
6.9,3.1,5.0900918255762,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,6.19204699695021,2.3,virginica
6.7,3.25110923966435,5.7,2.5,virginica
6.7,3,5.2,2.3,virginica
6.3,2.5,5,2.10731806418437,virginica
6.5,3,5.2,1.29465751566591,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3,5.1,1.8,virginica
