sepal_length,sepal_width,petal_length,petal_width,class
5.1,3.5,1.4,0.329974447722762,setosa
4.9,3,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
4.6,2.44114484315844,1.5,0.2,setosa
5,3.6,1.4,0.2,setosa
5.4,3.9,1.7,0.4,setosa
4.6,3.4,1.4,0.3,setosa
5,3.4,1.5,0.2,setosa
4.4,2.9,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.4,3.7,1.5,0.2,setosa
4.8,3.4,1.6,0.2,setosa
4.8,3,1.4,0.1,setosa
4.3,3,1.1,0.1,setosa
4.92044841093978,4,1.2,0.2,setosa
5.7,4.4,1.5,0.376303873021671,setosa
5.4,3.9,1.3,0.4,setosa
5.1,3.5,1.4,0.3,setosa
5.7,3.8,1.57927319564418,0.3,setosa
5.1,3.8,1.5,0.3,setosa
5.4,3.4,1.7,0.2,setosa
5.1,3.7,1.5,0.4,setosa
4.6,3.6,0.72503535818493,0.2,setosa
5.1,3.13053254043446,1.7,0.5,setosa
4.8,3.4,1.9,0.2,setosa
5,3,1.6,0.2,setosa
5,3.4,1.6,0.4,setosa
5.2,3.5,1.5,0.2,setosa
5.2,3.4,1.4,0.2,setosa
4.7,3.2,1.62591947831996,0.2,setosa
4.8,3.0070775899301,1.6,0.2,setosa
5.4,3.4,1.5,0.4,setosa
5.12359996411866,4.1,1.5,0.1,setosa
5.5,3.55624737267306,1.4,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5,3.2,1.2,0.2,setosa
4.76837510377379,3.5,1.3,0.2,setosa
4.9,3.1,1.5,0.1,setosa
4.4,3,1.63656491441856,0.2,setosa
5.1,3.4,1.5,0.2,setosa
5,3.5,1.3,0.3,setosa
4.5,2.3,1.3,0.3,setosa
4.4,3.2,1.3,0.2,setosa
5,3.5,1.6,0.6,setosa
5.1,3.8,1.9,0.4,setosa
4.8,3,1.4,0.3,setosa
5.1,3.20189287470831,1.6,0.2,setosa
4.96626122757438,3.2,1.4,0.2,setosa
5.3,3.7,1.5,0.2,setosa
5,3.3,1.7467450019186,0.2,setosa
7,3.2,4.7,1.39754418290022,versicolor
6.4,3.2,4.5,1.5,versicolor
6.9,3.1,4.9,1.5,versicolor
5.5,2.3,4,1.3,versicolor
6.5,2.8,5.33971549194654,1.5,versicolor
5.99783301118587,2.8,4.5,1.3,versicolor
6.3,3.3,4.63131433864566,1.6,versicolor
4.9,2.4,3.3,1,versicolor
6.6,2.9,4.6,1.3,versicolor
5.2,2.58659178510943,3.9,1.4,versicolor
5.23754333327629,2,3.5,1.16284191530284,versicolor
5.9,3,4.07881580605907,1.5,versicolor
6,2.2,4,1,versicolor
6.1,2.9,4.7,1.4,versicolor
5.39343024901737,2.9,3.6,1.3,versicolor
6.7,3.1,4.4,1.4,versicolor
5.6,3,4.5,1.48773173910296,versicolor
5.8,2.7,4.1,1,versicolor
6.2,2.2,4.5,1.5,versicolor
5.6,2.5,3.9,1.1,versicolor
5.9,3.2,4.8,1.67277915881683,versicolor
6.1,2.8,4.59541720957981,1.3,versicolor
6.3,2.5,5.21533216741126,1.5,versicolor
6.1,2.8,4.7,1.89019246773289,versicolor
6.4,2.9,4.3,1.3,versicolor
6.6,3,4.4,1.43363076160971,versicolor
6.8,2.8,4.8,1.53213107928246,versicolor
6.03841685686763,3,4.52210451797899,1.7,versicolor
6,2.9,4.85753621152679,1.5,versicolor
5.7,2.6,3.5,1,versicolor
5.72034839556248,2.4,3.8,1.1,versicolor
5.5,2.4,3.7,1,versicolor
5.8,2.7,3.9,1.2,versicolor
6,2.7,5.1,1.6,versicolor
5.4,3,4.5,1.5,versicolor
6,3.4,4.59931549920416,1.6,versicolor
6.7,3.22198773837371,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.87734803752429,3,4.1,1.3,versicolor
5.5,2.5,4,1.3,versicolor
5.93198615137261,2.6,4.4,1.2,versicolor
6.1,3,4.6,1.4,versicolor
5.8,2.6,4,1.2,versicolor
5,2.3,3.3,1,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3,4.2,1.2,versicolor
5.7,2.9,3.85664724961917,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.94755241950468,3.3,6,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3,5.8,2.2,virginica
7.6,3,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.78424453446341,1.8,virginica
7.2,3.6,6.1,2.16572379335924,virginica
6.5,3.2,5.1,2,virginica
6.4,2.80383669765965,5.16822420224207,1.9,virginica
6.67571246672914,3,5.6878405482079,2.1,virginica
